source,target
source,target
nga,nga
nga_ee,nge
nga_uu,ngu
nga_ii,ngi
nga_ex,ngé
nga_oo,ngo
nga_eueu,ngeu
nga_pamaeh,ng
nga_hh,ngah
nga_ng,ngang
nga_rr,ngar
nga_ee_hh,ngeh
nga_ee_ng,ngeng
nga_ee_rr,nger
nga_uu_hh,nguh
nga_uu_ng,ngung
nga_uu_rr,ngur
nga_ii_hh,ngih
nga_ii_ng,nging
nga_ii_rr,ngir
nga_ex_hh,ngéh
nga_ex_ng,ngéng
nga_ex_rr,ngér
nga_oo_hh,ngoh
nga_oo_ng,ngong
nga_oo_rr,ngor
nga_eueu_hh,ngeuh
nga_eueu_ng,ngeung
nga_eueu_rr,ngeur
a,a
i,i
u,u
e,e
o,o
eu,eu
é,é
a_ng,ang
a_hh,ah
a_rr,ar
i_ng,ing
i_hh,ih
i_rr,ir
u_ng,ung
u_hh,uh
u_rr,ur
e_ng,eng
e_hh,eh
e_rr,er
o_ng,ong
o_hh,oh
o_rr,or
hiji,1
dua,2
tilu,3
opat,4
lima,5
genep,6
tujuh,7
dalapan,8
salapan,9
enol,0
ka,ka
na,na
pa,pa
ma,ma
ta,ta
da,da
ba,ba
ga,ga
ja,ja
ra,ra
la,la
sa,sa
ya,ya
wa,wa
ha,ha
za,za
xa,xa
fa,fa
va,va
ca,ca
nya,nya
kha,kha
sya,sya
qa,qa
ka_ng,kang
ka_rr,kar
ka_hh,kah
na_ng,nang
na_rr,nar
na_hh,nah
pa_ng,pang
pa_rr,par
pa_hh,pah
ma_ng,mang
ma_rr,mar
ma_hh,mah
ta_ng,tang
ta_rr,tar
ta_hh,tah
da_ng,dang
da_rr,dar
da_hh,dah
ba_ng,bang
ba_rr,bar
ba_hh,bah
ga_ng,gang
ga_rr,gar
ga_hh,gah
ja_ng,jang
ja_rr,jar
ja_hh,jah
ra_ng,rang
ra_rr,rar
ra_hh,rah
la_ng,lang
la_rr,lar
la_hh,lah
sa_ng,sang
sa_rr,sar
sa_hh,sah
ya_ng,yang
ya_rr,yar
ya_hh,yah
wa_ng,wang
wa_rr,war
wa_hh,wah
